sitetype,lat,lon,zip,plus4
Commercial_Farm,47.58326189,-121.89628361,98024,5900
Commercial_Farm,47.2344239,-122.02071275,98022,8612
Commercial_Farm,47.24179413,-122.02766093,98022,8607
Commercial_Farm,47.23753647,-121.92968967,98022,8103
Commercial_Farm,47.49152719,-122.34017536,98146,2852
Commercial_Farm,47.40822071,-122.09673036,98058,9721
Commercial_Farm,47.42619804,-122.08299043,98058,0211
Commercial_Farm,47.24790218,-121.96263896,98022,9724
Commercial_Farm,47.42780943,-122.20538942,98055,6338
Commercial_Farm,47.67537971,-122.04253013,98053,5982
Commercial_Farm,47.50852342,-121.7988422,98045,
Commercial_Farm,47.4261077,-122.16650548,98058,7616
Commercial_Farm,47.24756138,-122.02324289,98022,8806
Commercial_Farm,47.24314562,-122.02109922,98022,8823
Commercial_Farm,47.35840591,-122.23100391,98032,
Commercial_Farm,47.40162348,-122.27263206,98032,
Lodging,47.69469325,-122.34401275,98103,3921
Lodging,47.695193,-122.34386281,98103,3924
Lodging,47.66479415,-122.348773,98103,6536
Lodging,47.63651164,-122.34417928,98109,2702
Lodging,47.33123622,-122.04228247,98010,1286
Lodging,47.69286363,-122.34492895,98103,3977
Lodging,47.46951607,-122.2333216,98057,5218
Lodging,47.55073949,-122.0606336,98027,8903
Lodging,47.27179862,-122.25758332,98047,1004
Lodging,47.4480238,-122.2565699,98188,3801
Lodging,47.66146268,-122.30689326,98105,3375
Lodging,47.66170503,-122.30689069,98105,3370
Lodging,47.66197375,-122.30688787,98105,3373
Lodging,47.66226875,-122.30688471,98105,3374
Lodging,47.66287204,-122.30812561,98105,3314
Lodging,47.66195007,-122.30804894,98105,4281
Lodging,47.66146426,-122.3080563,98105,4206
Lodging,47.66146364,-122.30756123,98105,3320
Lodging,47.66173307,-122.30755713,98105,3369
Lodging,47.66243358,-122.30754651,98105,3364
Lodging,47.66281078,-122.3075408,98105,3314
Lodging,47.66271201,-122.3091738,98105,4204
Lodging,47.66244108,-122.30917788,98105,4204
Lodging,47.66222434,-122.30918114,98105,4204
